month,name,est_price
Jan,Headphone,32904
Jan,iMac and MacBook,25187
Feb,Headphone,447
Feb,iMac and MacBook,1498
Mar,Headphone,55704
Mar,iMac and MacBook,84139
Apr,Headphone,15621
Apr,iMac and MacBook,32293
May,Headphone,62861
May,iMac and MacBook,103294
Jun,Headphone,49214
Jun,iMac and MacBook,45224
Jul,Headphone,45104
Jul,iMac and MacBook,83809
Aug,Headphone,94520
Aug,iMac and MacBook,167061
Sep,Headphone,34510
Sep,iMac and MacBook,34999
Oct,Headphone,31673
Oct,iMac and MacBook,34867
Nov,Headphone,22898
Nov,iMac and MacBook,33703
Dec,Headphone,58716
Dec,iMac and MacBook,54916
