name,prices_merchant,est_price
49 Class MU6290 Series,bestbuy,599.99
49 Class MU6290 Series,bhp,597.99
49 Class MU6290 Series,others,599.99
49 Class MU6290 Series,walmart,597.99
49 Class Q6F Series,bestbuy,899.99
49 Class Q6F Series,bhp,1299.99
49 Class Q6F Series,others,1297.99
49 Class Q6F Series,walmart,1299.99
55 Class Curved  MU6490 Series,bestbuy,799.99
55 Class Curved  MU6490 Series,bhp,1197.99
55 Class Curved  MU6490 Series,others,799.99
55 Class Curved  MU6490 Series,walmart,1399.99
55 Class Curved  Q7C Series,bestbuy,2199.99
55 Class Curved  Q7C Series,bhp,2997.99
55 Class Curved  Q7C Series,others,2997.99
55 Class Curved  Q7C Series,walmart,3699.99
65 Class MU6290 Series,bestbuy,5999.99
65 Class MU6290 Series,bhp,1397.99
65 Class MU6290 Series,others,1129.99
65 Class MU6290 Series,walmart,6999.99
65 Class MU7000 Series,bestbuy,1499.99
65 Class MU7000 Series,bhp,1697.99
65 Class MU7000 Series,others,1597.99
65 Class MU7000 Series,walmart,2099.0
